mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf,param_clf__C,param_clf__class_weight,param_clf__l1_ratio,param_clf__max_depth,param_clf__splitter,param_clf__n_neighbors,param_clf__weights,param_clf__max_features,param_clf__n_estimators,param_clf__learning_rate,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
6.065731620788574,2.289472849192331,0.2954575061798096,0.0036518725777613665,"LogisticRegression(max_iter=1000, solver='saga')",0.01,,0.0,,,,,,,,"{'clf': LogisticRegression(max_iter=1000, solver='saga'), 'clf__C': 0.01, 'clf__class_weight': None, 'clf__l1_ratio': 0}",0.8877970889885156,0.8884726401768716,0.8884043729271588,0.8882201203783319,0.8891413831224665,0.8884071211186688,0.0004360159323857655,7,0.4307692307692308,0.5066666666666667,0.5,0.46938775510204084,0.625,0.5063647305075877,0.06511052820896174,7,0.015401540154015401,0.020913593835993397,0.014309301045679693,0.012658227848101266,0.01651073197578426,0.015958678971914803,0.002784951441443542,55,0.02973977695167286,0.040169133192389,0.027822364901016586,0.02465166130760986,0.032171581769437,0.030910903624425064,0.00524200052706346,53,0.6355653055799876,0.6323477569973919,0.6397123149058295,0.6300110661283447,0.6342565443203482,0.6343785975863804,0.003257955120637674,34
7.106424283981323,2.8455040573906976,0.29722089767456056,0.004123492117717906,"LogisticRegression(max_iter=1000, solver='saga')",0.01,,0.5,,,,,,,,"{'clf': LogisticRegression(max_iter=1000, solver='saga'), 'clf__C': 0.01, 'clf__class_weight': None, 'clf__l1_ratio': 0.5}",0.8879199164773076,0.8882883989436836,0.8884043729271588,0.8883429554108832,0.8892028006387421,0.8884316888795551,0.0004208743594705214,5,0.4444444444444444,0.4861111111111111,0.5,0.48936170212765956,0.6444444444444445,0.5128723404255319,0.06845174381998645,5,0.015401540154015401,0.01926252063841497,0.014309301045679693,0.012658227848101266,0.015960374243258118,0.015518392785893889,0.002184945849667095,56,0.029771398192450824,0.037056643726839596,0.027822364901016586,0.02467811158798283,0.031149301825993556,0.030095564046856683,0.004103371848132228,54,0.6368123124099483,0.6335923202840037,0.6400940839682676,0.6309125456261399,0.6349898346472735,0.6352802193871266,0.003083196458158889,21
6.811461687088013,2.7770713486880445,0.3002359867095947,0.00596348654428742,"LogisticRegression(max_iter=1000, solver='saga')",0.01,,1.0,,,,,,,,"{'clf': LogisticRegression(max_iter=1000, solver='saga'), 'clf__C': 0.01, 'clf__class_weight': None, 'clf__l1_ratio': 1}",0.8877970889885156,0.8884112264324756,0.8882815378946075,0.8882815378946075,0.8890799656061908,0.8883702713632795,0.0004122204574689281,19,0.4262295081967213,0.5,0.48,0.4782608695652174,0.627906976744186,0.502479470901225,0.06729655425509652,14,0.014301430143014302,0.01926252063841497,0.013208585580627407,0.012107870115575124,0.014859658778205834,0.014748013051167528,0.002446747697452569,57,0.027674294837679615,0.03709591944886063,0.025709694697375468,0.023617820719269995,0.02903225806451613,0.028625997553540367,0.004612960440480246,57,0.636992596598063,0.6336293189633126,0.6404772798136279,0.6313063757602138,0.6353756177256662,0.6355562377721766,0.0031011852014451746,20
1.3701328754425048,0.13726825155714434,0.3068722724914551,0.006481628002246055,"LogisticRegression(max_iter=1000, solver='saga')",0.01,balanced,0.0,,,,,,,,"{'clf': LogisticRegression(max_iter=1000, solver='saga'), 'clf__C': 0.01, 'clf__class_weight': 'balanced', 'clf__l1_ratio': 0}",0.6733402935576982,0.6710065712706503,0.6749170863530278,0.6822871883061049,0.6719076280555214,0.6746917535086006,0.00402243138706424,64,0.16676185037121644,0.1655328798185941,0.1709579704657327,0.17098039215686275,0.1696344892221181,0.1687735164069048,0.002233022168992443,57,0.48184818481848185,0.48211337369290036,0.49697303247110625,0.4799119427627958,0.4980737479361585,0.4877840563362885,0.007995954227715225,15,0.2477725922783199,0.2464481642987762,0.25440202845471194,0.25213242735289865,0.253076062639821,0.2507662550049055,0.003099303490785008,20,0.6352212787818706,0.6326139192189287,0.6405760322156169,0.6308302297634146,0.6346950803193179,0.6347873080598297,0.0032890196592059045,23
1.5127069473266601,0.05278281052730861,0.29805541038513184,0.005066005299124954,"LogisticRegression(max_iter=1000, solver='saga')",0.01,balanced,0.5,,,,,,,,"{'clf': LogisticRegression(max_iter=1000, solver='saga'), 'clf__C': 0.01, 'clf__class_weight': 'balanced', 'clf__l1_ratio': 0.5}",0.6745685684456181,0.6727875698581343,0.6758383490971626,0.6838226262129959,0.6724603857020022,0.6758954998631825,0.004148797020330197,57,0.1676532365858316,0.16732992230433957,0.1723158492709714,0.17221019484353473,0.1681766704416761,0.1695371746892707,0.0022422411490376354,49,0.4829482948294829,0.48596587782058337,0.5008255365987893,0.48156301596037426,0.49036873968079253,0.48833429297800446,0.006937415937415723,9,0.24890148830616585,0.24894276853679165,0.2564102564102564,0.25369672368802554,0.2504567814476458,0.25168160367777703,0.002937730900694522,10,0.6362453926000965,0.6335856624239738,0.6404936212340302,0.6314168277821649,0.634638617763143,0.6352760243606818,0.003043682006900671,22
1.2143105030059815,0.029292157392397298,0.29496169090270996,0.002827796923877671,"LogisticRegression(max_iter=1000, solver='saga')",0.01,balanced,1.0,,,,,,,,"{'clf': LogisticRegression(max_iter=1000, solver='saga'), 'clf__C': 0.01, 'clf__class_weight': 'balanced', 'clf__l1_ratio': 1}",0.6731560523245103,0.6717435362034023,0.6754084264832331,0.6835769561478934,0.6725218032182778,0.6752813548754634,0.004323918243972489,58,0.1676783004552352,0.16679259539100869,0.1717152593714502,0.17233248182354097,0.16870876531573986,0.169445480471395,0.0021995520790493357,50,0.48624862486248627,0.48596587782058337,0.4991744634012108,0.4826637314254265,0.4925701706108971,0.4893245736241208,0.005876450382708951,7,0.24936530324400563,0.2483476304317255,0.25552894773911816,0.2539820445988995,0.2513338949733221,0.2517115641974142,0.0027089157699071308,9,0.6366748842184599,0.6339547741840298,0.6407235044984563,0.6316501733731489,0.6348803718614818,0.6355767416271154,0.0030406819200539076,19
5.899667358398437,2.2495210660565723,0.3007671356201172,0.004671338191654739,"LogisticRegression(max_iter=1000, solver='saga')",0.1,,0.0,,,,,,,,"{'clf': LogisticRegression(max_iter=1000, solver='saga'), 'clf__C': 0.1, 'clf__class_weight': None, 'clf__l1_ratio': 0}",0.8877970889885156,0.8884112264324756,0.8884043729271588,0.8881587028620562,0.8891413831224665,0.8883825548665346,0.00044045395280257614,17,0.4307692307692308,0.5,0.5,0.46,0.62,0.5021538461538462,0.06445107313615783,15,0.015401540154015401,0.020913593835993397,0.014309301045679693,0.012658227848101266,0.0170610897083104,0.01606875051842003,0.0028153060523460334,48,0.02973977695167286,0.040147913365029056,0.027822364901016586,0.024638457418318157,0.03320835565077665,0.031111373657362662,0.005303845475294322,51,0.6350666245331757,0.6318388301767087,0.6397112495745808,0.6296970597428253,0.6343449287664358,0.6341317385587452,0.0033756246851347335,36
7.497138738632202,1.4531603880710704,0.3022440433502197,0.009234322023630887,"LogisticRegression(max_iter=1000, solver='saga')",0.1,,0.5,,,,,,,,"{'clf': LogisticRegression(max_iter=1000, solver='saga'), 'clf__C': 0.1, 'clf__class_weight': None, 'clf__l1_ratio': 0.5}",0.8877970889885156,0.8884112264324756,0.8884043729271588,0.8881587028620562,0.8892028006387421,0.8883948383697897,0.0004617849727437388,9,0.4307692307692308,0.5,0.5,0.46,0.6326530612244898,0.5046844583987442,0.06910862942941995,8,0.015401540154015401,0.020913593835993397,0.014309301045679693,0.012658227848101266,0.0170610897083104,0.01606875051842003,0.0028153060523460334,48,0.02973977695167286,0.040147913365029056,0.027822364901016586,0.024638457418318157,0.03322615219721329,0.031114932966649987,0.005305257309075545,47,0.6354022854756959,0.6321726362561492,0.6396918643506111,0.6298814191201468,0.6340777208607647,0.6342451852126736,0.003297609820672144,35
7.04444432258606,2.3442973335725616,0.3008127689361572,0.00577187869228533,"LogisticRegression(max_iter=1000, solver='saga')",0.1,,1.0,,,,,,,,"{'clf': LogisticRegression(max_iter=1000, solver='saga'), 'clf__C': 0.1, 'clf__class_weight': None, 'clf__l1_ratio': 1}",0.8878585027329117,0.8884726401768716,0.8884043729271588,0.8881587028620562,0.8892028006387421,0.8884194038675481,0.00044706725042604274,6,0.4375,0.5066666666666667,0.5,0.46,0.6326530612244898,0.5073639455782313,0.06764080221918857,6,0.015401540154015401,0.020913593835993397,0.014309301045679693,0.012658227848101266,0.0170610897083104,0.01606875051842003,0.0028153060523460334,48,0.02975557917109458,0.040169133192389,0.027822364901016586,0.024638457418318157,0.03322615219721329,0.03112233737600632,0.00531166823092977,46,0.6357164803932865,0.6324902732469455,0.6396638233102467,0.6300976052685195,0.6341350585104653,0.6344206481458927,0.0032145505261992843,33
1.2804922103881835,0.03838688649606061,0.2997603893280029,0.0020533071653125704,"LogisticRegression(max_iter=1000, solver='saga')",0.1,balanced,0.0,,,,,,,,"{'clf': LogisticRegression(max_iter=1000, solver='saga'), 'clf__C': 0.1, 'clf__class_weight': 'balanced', 'clf__l1_ratio': 0}",0.6737701897684701,0.6714978812258183,0.6762068541948164,0.6822871883061049,0.6723375506694509,0.6752199328329322,0.0038777226242464272,60,0.16711128048780488,0.16590995081346954,0.17164037255274664,0.171109368874951,0.16960931630353118,0.16907605780650065,0.0022306506695103324,56,0.4823982398239824,0.4826637314254265,0.49697303247110625,0.48046230049532196,0.49697303247110625,0.48789406733738866,0.007451803915864071,13,0.24823096518539484,0.24693791355765168,0.2551568239615711,0.25234860528978176,0.2529057554964291,0.25111601269816564,0.0030604127507973655,18,0.6349600739541634,0.6323896064032939,0.6406009914048694,0.6306948565997555,0.6347409656580959,0.6346772988040357,0.003354624620247422,26
